Name,Repeatability factor,Importance,Algorithm,Complexity,Additional link,Formula
133. Clone Graph,,,"Create map for new nodes, dfs for every node and put each node when entering recursive dfs call. Neighbours could be added to the cloned node when cloned neightbours is in map","O(n) Time, O(n) Space ",,
57. Insert Interval,,,"Put new interval into result. Iterate over sorted intervals, if overlaped with last result, then merge. If not overlapped, then insert either to left or right of last result ","O(n) Time, O(n) Space ",,
191. Number of 1 Bits,,,"Create bit mask with 1 bit, shift it and compare with value in a cycle","O(1) Time, O(1) Space",,
213. House Robber II,,,"Calculate dp for nums without last value and dp for nums without first value, take max of both dp",,,"dp[i] = max(dp[i-1], nums[i] + dp[i-2])"
322. Coin Change,,,"Iterate through 1 to amount, pick smallest dp for every i, where dp[i-coin] exists",O(n * c) Time,,
91. Decode Ways,5,,"Iterate over string and calculate dp[i] which represents number of ways to decode, if current number is single digit then dp[i-1] should be considered as current number of ways, also if current and previous character is a valid number, then dp[i-2] should be added to current dp[i]",O(n) TIme,,dp[i] = dp[i-1] + dp[i-2]
238. Product of Array Except Self,,,"Calculate product from left to right and from right to left, the result for i will be a product of left-to-right[i-1] adn right-to-left[i+1]",,,
300. Longest Increasing Subsequence,10,,"Calculate dp for nums, for each number calculate max dp value for range dp[0..i] which could be increased for 1 if num",,,dp[i] = max(dp[0..i] + 1)
15. 3Sum,5,,"Sort nums, iterate over unique nums[i] and calculate two sum for sub array starting from i+1",,,
417. Pacific Atlantic Water Flow,,,"Create 2 arrays for flow, start from initial points that join the ocean and do dfs in reverse-flow direction",O(n) Time,,
55. Jump Game,,,Start from the end and track minimal reachable index of the array,O(n) Time,,
252. Meeting rooms,,,"Sort intervals by its start, iterate over intervals and merge those that intersects with last interval in the merged list",O(nlogn) Time,,
73. Set Matrix Zeroes,,,Iterate over matrix and set in a buffer rows and columns to set 0. On next iteration set zero to rows and columns,O(n*m) Time,,
56. Merge Intervals,,,"Sort intervals by its start, iterrate over the intervals and check for intersection with last interval",O(nlogn) Time,,
572. Subtree of Another Tree,,,"Use function to compare two trees, iterate over all nodes with dfs and compare tree if root of subtree matches the node",,,
152. Maximum Product Subarray,,,"Track max and min value for dp, for each dp either pick a num[i] or extend an array and multiply to num[i]. Max and min dp values should be considere too",O(n) Time,,
62. Unique Paths,,,"Create a grid dp, iterate over cell and sum current dp with dp in the cell in which robot could go",O(n*m) Time,,
207. Course Schedule,5,,"Create course to prerequisites graph, iterate over all courses and check with recursive dfs (cycle will not work) whether course prerequisites are resolvable. Track already resolved courses and visited node for one iteration.",O(n + p) Time,,
105. Construct Binary Tree from Preorder and Inorder Traversal,10,,"Use recursive function to create a subtree. Take a new node from preorder traversal, find it in inorder traversal, everyting in the left is a left subtreee, evertyhing on the right is a right subtree. Recursevely create left and right subtree if there are more then 1 node respectively",O(n) Time,,
338. Counting Bits,,,"dp[i] is a nubmer of bits, dp[i] = (dp[i-prevMaxPowerOfTwo] + 1) || 1 when i is a power of two",O(n),,dp[i] = (dp[i - prevPowerOfTwo] + 1) || 1
190. Reverse Bits,,,"Read each bit, then shift it left (31 - i) times and summ with previous result",O(n),,
261. Graph Valid Tree,,,"Build a bidirectional graph with neighbouring cells. Iterate with dfs over neighbouring cells, track visited cells and previous cell in order to detect cycle. Valid tree wood be a graph without cycle and all nodes should be connected",O(n),,
79. Word Search,,,"Create a list path to track the selected cellls. Find a first match and start recursive search with dfs, in the search before visiting the neightbouring cells, add current cell to the path, after neighboring cells are visited - remove cell from path","O(m*n*4^L), where m,n size of board, L - length of word",,
424. Longest Repeating Character Replacement,10,,"Use frequency map to determine the most common character. Iterate over string with sliding window and move right pointer, when condition (windowLength - mostCommonCharacterCount <= k). Otherwise move left pointer.",,,
153. Find Minimum in Rotated Sorted Array,,,"Do binary search over array, if left pointer value less than mid pointer, then move it to mid + 1. If left pointer greater then mid then move right pointer. Keep track of left, mid and right values",,,if (left < mid) l = m + 1 else r = m - 1
208. Implement Trie (Prefix Tree),,,Create a tree in which root is an empty node and other nodes are characters. The word is considered stored only if node has specific flag fot that,,,
371. Sum of Two Integers,,,"Use XOR opeeration to determine the result of summing the each of the bits of the number. If both bits a 1 or sum of bits are 1 and carry from previous sum is 1, then 1 bit should be applied to the next bit",O(1),,
253. Meeting Rooms II,,,"Create arrays with start and end times and sort them. Then iterate over each time period and increment counter of simultaneous meetings if time is a start, and decrement if time is an end. Maximum value of simulataneous meetings would be the minimum number of meeting rooms requires",O(nlogn),,
5. Longest Palindromic Substring,,,"DP: Create a table dp with size n x n, where dp[i][j] indicates where s[j:i] is a palindrome, iterate over string characters and calculate dp[i][j] considering string is a palindrome when dp[i+1][j-1] is a palindrome and s[i] = s[j]; TWO POINTER: For every index in the string, check possibility to extend left and right pointer, palindromes with odd and even length should have different checks",O(n*n),,
33. Search in Rotated Sorted Array,,,"Find min value index with binary search, then use binary search for left or right subarray to find target.",O(logn),,
54. Spiral Matrix,10,,"Create for points left, right, top, bottom. Iterate when left <= right and top <= bottom, add 4 cycles to add values on each side, after each cycle increase or decrease pointer and skip from the middle if pointers exceed it's opposites",O(n*m),,
139. Word Break,,,"Iterate over s from end, for each i calculate dp[i] which will be true if any of the word matches substring from i until i+word.length",O(n*m*wordLen),,
23. Merge k Sorted Lists,,,Use binary heap to determine which value should be next and index of the list,O(n*logk),,
647. Palindromic Substrings,5,,"Create a table dp size n x n, where dp[i][j] indicates whether s[i:j] is a palindrome. Iterate over string from bottom to top, for each i set dp[i][j] to true, when length of substring is 1, 2 and s[i] mathces s[j] or s[i] matches d[j] and dp[i+1][j-1] is a palindrome",O(n*n),,
143. Reorder List,,,"Put nodes into LinkedList, then remove from head and tail","O(n) Time, O(n) Memory",,
230. Kth Smallest Element in a BST,,,"Using in-order traversal put all values into the list, it will result in a sorted list. Then get list[k-1]",,,
323. Number of Connected Components in an Undirected Graph,,,"Build bi-directional graph. Iterate over node and mark visited nodes with dfs, before start marking increment counter of componnents",O(V+E) Time,,
268. Missing Number,,,"If m is missing in 0..n, then the difference in sums between 0..n and sum of the numbers in the array is a target number","O(n) Time, O(1)",,
121. Best Time to Buy and Sell Stock,,,Use 2 pointers to track min buy prices and max sell price only after min prices was used,O(n) Time,,
19. Remove Nth Node From End of List,,,"Count number of nodes, then calculate node index to remove and remove node on 2-nd iteration over list",O(n) Time,,
200. Number of Islands,,,"iterate over all cells in the grid, if cell is an island, remove it and all connected islands with dfs and increment number of islands",O(m x n) Time,,
100. Same Tree,,,"Compare recursively with dfs, first the node values then left subtree and right subtree",O(n) Time,,
572. Subtree of Another Tree,,,"Iterate with dfs over the left tree, if current node is equal to the right node, then using dfs check if subtree on the left is eqaul to the right tree",O(n*m) Time,,
98. Validate Binary Search Tree,,,"Iterate with dfs, for each node check whether it is in min and max values range, min and max values should be determined by the parent value and whether visited node is left or right",O(n) Time,,
435. Non-overlapping Intervals,,,"Sort intervals by their start point, iterate over the intervals if interval doesn't overlap with last interval from the result, add it to the result. If it overlaps, then leave in the result the shosrtest one and increase number of removed intervals",O(n) Time,,
3. Longest Substring Without Repeating Characters,,,"Use sliding window over the string and hashset to track already included characters, if new character is in set, then move left window to the next character after the same aleady included character and remove all characters on the left from the hashset",O(n) Time,,
198. House Robber,,,"Iterate over array and calculate dp[i], which could be either amount from previuos value dp[i-1] or sum of dp[i-2] and value from array",O(n) Time,,"dp[i] = max(dp[i-1], dp[i-2] + num[i])"
53. Maximum Subarray,5,,"Iterate over array and calculate dp[i], for each number it could either be included into subrray or it maybe used as start point for subarray",O(n) Time,,"dp[i] = max(dp[i-1] + nums[i], nums[i])"
39. Combination Sum,5,,"Use backtracking, use dfs, for each iteration include current number into combination without moving current index and don't include current number into combination and increment current index",O(n) Time,,
48. Rotate Image,5,,"Rotate with 4 points. First would be topLeft, topRigth, bottomRight and bottomLeft. The will occupy new place according to rotation degree",O(n) Time,,
11. Container With Most Water,,,"Use 2 pointers, for each iteration if value heights[left] < height[right], then move left pointer to the right. Track max area for each iteration",O(n) Time,,
297. Serialize and Deserialize Binary Tree,,,"Use dfs in order to traverse the tree and serialize it into string. To deserialize, use recursive dfs function, which will serialzie value at current index, then recursively serizlie left subtree and then recursively serialize right subtree",O(n) Time,,
295. Find Median from Data Stream,,,"Use 2 heaps to store the nums, first one is a max heap to store lesser values, second one is min heap to store greater values. Add number first to the left heap, then balance them so the first heap doesn't have the values greater then min from second heap. The difference in lengh of each heap shouldn't be greater then 1","TIME: insertin O(logn), median O(1) ",,
235. Lowest Common Ancestor of a Binary Search Tree,,,"Iterate with dfs, when max(p,q) is less then node, then LCA is in left subtree, when min(p,q) is greater then node, then LCA is in right subtree, otherwise current node is the split bertween p and q and it is LCA",O(h) Time,,
1143. Longest Common Subsequence,10,,"Create array dp[n][m], where n-length of s1, m-length of s2. Iterate from start to end, increment dp[i-1][dp-1]+1 if s1[i] == s2[j], other wise take max(dp[i+1][j], dp[i][j+])",O(n*m) Time,,"dp[i][j] = dp[i-1][j-1]+1 || max(dp[i-1][j], dp[i][j-1])"
128. Longest Consecutive Sequence,4,,"Create a map to store the number and length of sequence. Iterate over nums and for each num, calculate the legnth of sequence if current num extends or create new sequence, in each iteration update the length for sequence boundaries in map",O(n) Time,,
269. Alien Dictionary,10,,"Connect a word pair into the graph, put all not characters in the graph too. For each node in the graph use recursive postorder traversal in order to format the result, track visited nodes when recursive call started and track nodes that already added to the result and skip call in this cases. At the end reverse the result. It is safe to start dfs call from any point of the graph, as we track visited nodes and alredy added. Some graphs could have a cycle","O(N+U+E) Time, where N - num of chars, U - num of unique chars, E - num of edges",,
76. Minimum Window Substring,,,"Use frequency map to check the symbol counts. Use two pointers approach, iterate over the string and move right pointer, in each iteration try to move left pointer if it is possible too. If window satisfies target string, then save it and pick the shortest one.",O(n+m) Time,,
